benchmark,model_key,model_revision,budget,task_id,seed,method,status,job_id,SUN,mSUN,AUDC,observed_scientific_responses,interim_SUN,raw_result_sha256,receipt_sha256,scope_registration_sha256
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ag-Nd-Pd-Pt-Tb,1,baseline,complete,all30-final-made-7c0efd227bf52418fb36aad2,4,0.4,0.5,10,,c01d8a3159c8432f2090355e6f739ebbe5bd4c48241e17eeb31b055de4cc443e,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ag-Nd-Pd-Pt-Tb,1,esopt_graph_risk,complete,all30-final-made-699a176cb7e28a04547e3e15,5,0.5,0.57,10,,6064bd564b46ec21f0651410594e0d80889658bfa551f595a78827dfefd8b7b4,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Hg-K-Mg-W,1,baseline,complete,all30-final-made-904eb201596a60402fead162,0,0.0,0.0,10,,29e92d75848cabb4f068fb3e34d83a07202a6b45895069a2d8d416e31a09277d,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Hg-K-Mg-W,1,esopt_graph_risk,complete,all30-final-made-a42b15610f22ef80153727db,0,0.0,0.0,10,,19903342d3307b806507c2f17045307efbbdfafe07ee4ef734fe0a110d3500ca,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Li-V,1,baseline,complete,core-final-made-b3cf3eb0b0abac870322dfca,0,0.0,0.0,10,,57c2ba5dab897b80b3ac22f10de9555ab27a60428ce66e32a37d59e2ba2da569,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Li-V,1,esopt_graph_risk,complete,core-final-made-62c11475b68fc27b52f90528,2,0.2,0.18,10,,4a48578474376701b499ad706f1ef7be39348db3c1169b95489eada9cafa670f,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Lu-Pt-Rb-Sm,1,baseline,complete,all30-final-made-e09a34e29836469e9ba4b8e4,0,0.0,0.0,10,,d6b3c60292fee58b82f2fc2e058b9257a869952c8fd58a8d5d7f59bf25c7760f,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-Lu-Pt-Rb-Sm,1,esopt_graph_risk,complete,all30-final-made-9bf29fcfc2d0b0e48b8c6c4d,7,0.7,0.83,10,,dee27b9b08f2629fb0d3e140a09a1866f618c4496038389c1b0bd20a077ba971,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-V-Zn,1,baseline,complete,core-final-made-e6ec0e8c12056042d3e30a1a,6,0.6,0.68,10,,d9e2464ee43fce63fc9519dbbc1c6d77ec0fe14593ec693e80ec19ab8030675b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Al-V-Zn,1,esopt_graph_risk,complete,core-final-made-d063abf251631ee8047431e9,4,0.4,0.32,10,,8f68cef15d506e2a1d969bb879891276c6e6c480232a595dcc2cda61879394cc,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-Cr-Cs-Dy,1,baseline,complete,all30-final-made-38b4f9685baec5bbe9d9f95b,0,0.0,0.0,10,,68625fe734e288b4d63eb68e7e0dadc81fd3480d96b5856a103ef21a1f6195cd,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-Cr-Cs-Dy,1,esopt_graph_risk,complete,all30-final-made-4754243cb39463fe720f858f,0,0.0,0.0,10,,851f16288bf92234bc9e9186c82ee6c52dff0924ed1f0a90ad786b0832ca1893,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-K-Tb,1,baseline,complete,extension-final-made-771b1767fddc6d875c57c295,6,0.6,0.8,10,,7adc7937119dbda02df3641d0bb46a2a9dc11cac88d0e17201919b77372a223b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-K-Tb,1,esopt_graph_risk,complete,extension-final-made-c45054a96220519898111679,0,0.0,0.0,10,,4b05943120082ed5477d95a2a7b31583961010694bf2b9195632b6867b10b110,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-Tb-V-Y,1,baseline,complete,all30-final-made-3a5820b8ce47b3e91e806915,0,0.0,0.0,10,,b25deccc3fb13fe99fdd930d2b91e14370b3ae6b22014c17f11bf0ac20f23abf,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Au-Tb-V-Y,1,esopt_graph_risk,complete,all30-final-made-70b2bcb089d3baa38fa11a37,0,0.0,0.0,10,,2a66e89b9346a79a78b9504d653770c57937414bfdc86b2af25bf48d584545a6,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ba-Be-Hf-Li,1,baseline,complete,all30-final-made-6a08269555caa8120c6d8a31,0,0.0,0.0,10,,050264829461bc48d02b09c47d138f5baa6471039f85cd1e1cbfe1f2d616ad99,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ba-Be-Hf-Li,1,esopt_graph_risk,complete,all30-final-made-81f7ae6412df7a9830ab16d2,0,0.0,0.0,10,,c2e21042c0200687cde81805540dc603b1d8b32ffa9ee4b01d10c18658124dfc,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ba-Nd-Ni-W,1,baseline,complete,all30-final-made-6e37b7222567aa49a67d1d87,0,0.0,0.0,10,,7da069925755a044509ddd975340caf0fbdde6e6238747c817b22135c3d6ba9f,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ba-Nd-Ni-W,1,esopt_graph_risk,complete,all30-final-made-3b6d75c2fa78012d74822eb9,0,0.0,0.0,10,,02bfb09bce61c38a836805fb5072f2c7c66e270e2edae36fa63e99a8978e24d8,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ca-Fe-Gd-Pb-Tb,1,baseline,complete,all30-final-made-9577fc5b372192d5a57a0b66,1,0.1,0.09,10,,eef2ce755475ebf5a03287236ee3282037542f20c2fba58a6225636621a85329,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ca-Fe-Gd-Pb-Tb,1,esopt_graph_risk,complete,all30-final-made-ca4d392d588e45b39931f2c9,2,0.2,0.1,10,,5853d007e7d62748821ad1c77b623e3f866f8d9321718b1579cabfd29ec267d8,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ca-Pd-Sn-W,1,baseline,complete,all30-final-made-f97b9ead831963615e7b4a32,0,0.0,0.0,10,,926ecc3dc439ec56dec7f410e3dc8543d6daddfef69a1248dc3ac86f4920f2d8,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ca-Pd-Sn-W,1,esopt_graph_risk,complete,all30-final-made-47b3183a8bb689fcbb041a8f,0,0.0,0.0,10,,eecfd2fc7d16ebd7dbed208700978b151f939c5eeb9546cbbb1c3bb06f0a0332,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cd-Gd-Mn-Na-Ta,1,baseline,complete,all30-final-made-4f2170f84bd98c346e4d478e,0,0.0,0.0,10,,0b6b35e565e3330ac1b08d6678b6fd0675a76cf1d884cc35014a77b076391db2,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cd-Gd-Mn-Na-Ta,1,esopt_graph_risk,complete,all30-final-made-77e8aed9df72d16d470b6252,0,0.0,0.0,10,,41a5018ec51c53e2fdce58ae4b3879eb948d8b3e6b907b770c45a86605406f57,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cd-Li-Nd-Ti-W,1,baseline,complete,all30-final-made-b9fe5a319d6c88bb44e6d609,0,0.0,0.0,10,,90b27bfd8d21deb607b538538b071b1d1d6641a4c2fdf476c212e75dd4c4a429,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Cd-Li-Nd-Ti-W,1,esopt_graph_risk,complete,all30-final-made-844717030b1249db9cea8c19,7,0.7,0.67,10,,ad8d8d20da05d24e52920b5f8764dbf3fdcf972cff78fc204ce586fa95e23b4f,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ce-Er-Pb-Rh,1,baseline,complete,all30-final-made-b0b5169d793729c1ce52868e,1,0.1,0.19,10,,52923b01a3586ff9854efe035313ae58bbea315719fb818c970522a9535f2696,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ce-Er-Pb-Rh,1,esopt_graph_risk,complete,all30-final-made-ad9a8021ac5bcfa3cbf9354b,4,0.4,0.58,10,,a3f02b08cf2b3b6896beddf7e96d39e1175f8485f5d1085f4f9ba105eb3c7428,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ce-Ir-Pt-Sn,1,baseline,complete,all30-final-made-b02d850a98d7df9b443caae7,3,0.3,0.33,10,,3a1a9eb29aaade7ac63dd88edd42e25348a55735db4de4e858af162852d22f0b,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Ce-Ir-Pt-Sn,1,esopt_graph_risk,complete,all30-final-made-9d0aa6b7ec047537b2499ee9,0,0.0,0.0,10,,ea08caf4d4faaa79e11dac45cebeb04fb3640c96af747db04960f26a57899ab9,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Dy-Ta-Y,1,baseline,complete,all30-final-made-8f2f1a7d5d9c8003b8c178a8,1,0.1,0.09,10,,6d45b08a8963600e9fe29f1db3369aafddb45ebe90acd51740de9e70e51976e6,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Dy-Ta-Y,1,esopt_graph_risk,complete,all30-final-made-9bfd0c2924e1c0658de0c66d,0,0.0,0.0,10,,611321000d031aee3a17ae7e988b605e16be9b405cf7865c0f2af2f7b43703fe,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Dy-W,1,baseline,complete,extension-final-made-f909f98ebec6c4dab4535b82,0,0.0,0.0,10,,22e97770bee728533254829a98b677399b1052b645c6fdddbdd4f5a0587ac27a,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Dy-W,1,esopt_graph_risk,complete,extension-final-made-ee71cc7e8c4f6d365c622b99,0,0.0,0.0,10,,6d4b4fa1b4845a7fbe14949752650e69951284e24d0169801d6728fb6366d6ca,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Hf-In-Ru-Tm,1,baseline,complete,all30-final-made-cb6bf8e9beffc5bb74ce0332,0,0.0,0.0,10,,e7e5d13a96a7858dcb62aef04b7c9841d87b8504218de082200407df1f2655ac,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
made,qwen35_4b,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,10,Co-Hf-In-Ru-Tm,1,esopt_graph_risk,complete,all30-final-made-0cd1e203de524cca41df900f,0,0.0,0.0,10,,16c0d818594774f95a0f1427930221f083e867bfd1f01076f05266d0a06e23eb,,ede4d1d5783f220f7a949afb39dad3a7697cfe95bb3a9e15ebbd6df8e08adf6c
